nombre,run,dv,correo,nombre_usuario,contrasena,telefono_contacto,puntos,etiqueta,fecha,monto,cantidad_personas
"Silvia Cabán Peralta",7593607,9,Silviaperalta@viajesanma.com,sicape,S5pe1iM2TKAYRh5,,9541,Aniversario,,960000,10
"Lorenzo Villarreal Dávila",20039370,8,,lorenzo8138,H5XJ3KxGLp,,6220,Aniversario,,537000,3
"María Elena García Rincón",5134056,6,,maelgari,TbufX4XQI,,3686,Vacaciones,,1251000,9
"Rosa Anguiano Sepúlveda",2769627,9,,rosa9982,BS242xPEJ,,7214,Vacaciones,,574000,7
"Lucas Benavídez Córdova",3882238,1,lucas3034@edubus.cal,lubecó,2594QZYki,,3373,"Salida con Familia",,77000,1
"María del Carmen Gonzales Salcedo",20541990,0,,maría1995,IyKPhvP7o2FoVVvj,,5665,Aniversario,,75000,1
"Adán Brito Chapa",2659116,3,,Adánchapa,GVJVQ8kYG,,2101,"Salida con Amigos",,712000,8
"Felipe Riojas Flórez",20360848,9,felipe4943@edubus.cal,ferifl,4Y5K1sU1ML2,,8619,"Cena de Trabajo",,97000,1
"Lorena Serna Anaya",21829581,9,,lorena4207,1O8D56IZ8d0w,,2995,Aniversario,,648000,9
"Leonor Limón Arreola",3730730,0,leonor7017@viajesanma.com,Leonorarreola,EWHrlOPFZm3IIIu,,1597,"Salida con Amigos",,360000,4
"Cecilia Valenzuela Orta",19141910,3,cevaor@tourket.com,Ceciliaorta,gBO3KC3zKY,,2830,"Cena de Trabajo",,560000,5
"Julia León Osorio",13093456,0,julia226@marmol.com,julia6161,4DDKErql4egvkFN,,9800,"Cena de Trabajo",,378000,7
"Ramona Molina Sosa",4945131,8,Ramonasosa@viajesanma.com,Ramonasosa,Fv1oPdlpF,,7358,"Salida con Amigos",,490000,7
"Alejandra Nájera Alicea",20494294,3,,alejandra2549,JljyarPQ2,,6064,"Salida con Amigos",,462000,3
"Sra. Joaquín Delapaz Rentería",20008462,4,sra.4224@edubus.cal,srjodere,LvH9gR1a,,3022,"Cena de Trabajo",,520000,8
"Sofia Crespo Gil",19580103,7,sofia6181@marmol.com,Sofiagil,pbNLLFxB2Xkb,,7250,"Cena de Trabajo",,770000,10
"Diego Delatorre Valadez",24703339,4,Diegovaladez@tourket.com,dideva,U5rRmP8tEIiohO,,7645,"Salida con Familia",,600000,10
"Jaime Ordóñez Cuellar",1204296,5,Jaimecuellar@viajesanma.com,jaime1387,aX42oRcOlNniZK,,3371,Vacaciones,,1233000,9
"Sta. Juan Carlos Fuentes Avilés",19751523,6,stjucafuav@tourket.com,stjucafuav,BKZYGp8n6,,7185,Aniversario,,772000,4
"Clemente Vallejo Ávalos",15464524,1,,clemente4599,74OMfY8POm,,4508,"Salida con Familia",,666000,9
"Sra. Patricia Irizarry Téllez",22861369,0,,srpairté,KQDtVfY2h,,2402,Aniversario,,456000,8
"Juana Delao Farías",16670864,8,judefa@marmol.com,Juanafarías,pbDv8ANC0i,,2139,"Cena de Trabajo",,158000,1
"Silvia Ontiveros Jurado",8478209,2,,Silviajurado,R89Whqh1aYAJ,,4914,Aniversario,,1260000,10
"Patricio Olivas Gastélum",7639632,9,paolga@wass.com,patricio6434,gR8vhjXsq21NszzC,,4364,"Salida con Familia",,5000,1
"Mercedes Nava Leal",24978391,9,,Mercedesleal,b5dGGV9oXf4wPABq,,7935,"Salida con Amigos",,278000,2
"Sonia Huerta Rico",9885044,9,sohuri@viajesanma.com,Soniarico,yI6X9ONvtz,,2537,"Cena de Trabajo",,728000,7
"Lorena Serna Anaya",21829581,9,lorena9979@edubus.cal,lorena4207,1O8D56IZ8d0w,,2995,"Cena de Trabajo",,1224000,9
"Graciela Haro Ocampo",3522707,5,,grhaoc,9qkKRUQX,,6996,Aniversario,,354000,3
"Rodrigo Henríquez Camacho",1610966,5,Rodrigocamacho@viajesanma.com,rodrigo6918,iJU6G1yxCJLG,,6901,"Salida con Familia",,291000,3
"Sra. Carolina Carrillo Chacón",7507017,9,sra.7321@viajesanma.com,srcacach,t8Szl84vgWlRY,,7244,"Cena de Trabajo",,488000,4
"Mayte Rosario Chacón",28984308,6,,Maytechacón,L0186sgxBhRZXSzW,,1799,"Salida con Amigos",,325000,5
"Diego Santiago Alejandro",22048461,0,,Diegoalejandro,ESyAVu11u,,6297,"Cena de Trabajo",,540000,6
"Alejandro Olivo Luna",2504646,3,Alejandroluna@marmol.com,Alejandroluna,vzZBGrWMXKp40Dlb,,1780,"Cena de Trabajo",,870000,10
"Sta. Micaela Gamboa Orozco",21753563,8,,Sta.orozco,QI0bEkR09d9,,6169,"Salida con Amigos",,1250000,10
"Irene Arredondo Amaya",2735826,8,iraram@marmol.com,iraram,sttBNA7JA6f,,3752,Vacaciones,,560000,5
"Luis Carmona Nevárez",13215650,6,luis4961@edubus.cal,luis3923,KgJK4MKa,,4360,"Cena de Trabajo",,1251000,9
"Sta. Timoteo Acevedo Suárez",11676934,4,sttiacsu@edubus.cal,sttiacsu,BhfZYbFvj4,,1921,"Salida con Amigos",,1376000,8
"Juana Castellanos Arguello",3203197,8,jucaar@wass.com,jucaar,bTRh6yICy,,9729,Vacaciones,,792000,6
"Irene Pagan Canales",9807335,3,irene9434@wass.com,irene1659,DQzA475tElEb,,9094,"Cena de Trabajo",,1890000,10
"Ramiro Castañeda Osorio",5493077,1,racaos@marmol.com,Ramiroosorio,16JBAfYF8pb1TW5T,,2054,Aniversario,,180000,3
"Sara Serrano Correa",1886727,3,saseco@outluc.com,Saracorrea,taf9XU88H,,4206,Vacaciones,,570000,6
"Guillermina Guerra Carvajal",1719530,1,guguca@tourket.com,Guillerminacarvajal,Az1LwPPb,,9003,"Salida con Familia",,279000,3
"Margarita Polanco Moya",8687703,1,Margaritamoya@viajesanma.com,Margaritamoya,OCrV9EaYRtLg6XMs,,1984,"Salida con Amigos",,904000,8
"Sancho Cano Luna",27003492,6,,Sancholuna,4ZqQn7ZpwFMdi,,3371,"Salida con Amigos",,1053000,9
"Isabela Amador Cotto",20766486,3,isabela3076@tourket.com,isabela668,ub9p2zrPw,,2026,"Cena de Trabajo",,990000,10
"Juana Soria Anaya",28051700,3,juana3336@wass.com,juana4491,bs12oWlDJ,,8644,"Salida con Familia",,1575000,9
"Ignacio Reyna Loya",10899446,0,,ignacio4135,t0zPahXeW,,8619,"Salida con Familia",,1512000,9
"Juana Delao Farías",16670864,8,judefa@marmol.com,Juanafarías,pbDv8ANC0i,,2139,Vacaciones,,1057000,7
"Adriana Sisneros Marín",22052439,6,adriana4503@tourket.com,Adrianamarín,I4o1kTyghkrwooy,,9364,Aniversario,,684000,4
"Martín Rodríguez Gonzales",18902988,8,,marogo,3j6U4bNgv6y,,2688,"Salida con Familia",,966000,7
"José Delvalle Cordero",6753692,4,jodeco@wass.com,jodeco,ajkq7K6eK,,9481,Vacaciones,,414000,3
"Laura Menéndez Gálvez",583666,2,,laura6696,p7CqSrewp6R,,4430,"Cena de Trabajo",,372000,3
"Teodoro Roybal Mascareñas",3043991,0,teodoro8120@outluc.com,Teodoromascareñas,a7FirQYNgtQ7n,,9115,Vacaciones,,488000,8
"Jorge Luis Calderón Arenas",19958154,6,,jolucaar,NeHig8zMruVI4fF,,3073,Aniversario,,250000,5
"Amalia Arteaga Cortés",5331946,7,,Amaliacortés,nO36tQ2I,,5469,"Salida con Familia",,840000,8
"María del Carmen Córdova Rodarte",1167993,5,,Maríarodarte,4NzdGTGF,,5197,Vacaciones,,1014000,6
"Ramona Macías Mejía",7412576,0,ramona2098@tourket.com,Ramonamejía,EcE6QE3L,,9282,"Salida con Familia",,1204000,7
"Luis Flores Montes",5874928,1,Luismontes@marmol.com,Luismontes,vgZ8UO4IU8kpYfHO,,8729,"Cena de Trabajo",,151000,1
"Mayte Rosario Chacón",28984308,6,maroch@wass.com,Maytechacón,L0186sgxBhRZXSzW,,1799,"Cena de Trabajo",,324000,6
"Daniela Garza de Anda",24707022,2,dagadean@wass.com,dagadean,K6cnQqMkdC3bk,,5326,Aniversario,,816000,6
"Marta Rivero Reséndez",15321666,5,,marta9104,f5ZD8jU8,,3395,"Salida con Familia",,1365000,7
"Rocio Balderas Ramírez",22888195,3,robara@viajesanma.com,rocio2910,n6hLZZl9FAO,,4255,"Cena de Trabajo",,365000,5
"José Eduardo Huerta Farías",24999620,3,,joedhufa,mA82BlyMaOY5rI3e,,6558,Vacaciones,,78000,3
"Gustavo Tamayo Olivas",6668422,9,Gustavoolivas@tourket.com,Gustavoolivas,5ZH9DXUGkE6,,4467,"Cena de Trabajo",,1701000,9
"Gonzalo Velasco Garica",22367118,7,,Gonzalogarica,COlN1m0GvUF6fW,,1479,"Salida con Amigos",,298000,2
"Sta. Emilio Águilar Hernández",4840133,3,,Sta.hernández,RoaHvTCOG4C0Dq,,7381,Aniversario,,1215000,9
"Mateo Hinojosa Ramos",12912706,6,mahira@marmol.com,mahira,ZI22ct7QnvGaI,,4978,"Cena de Trabajo",,894000,6
"Sr. Sara Toro Prieto",20761195,6,Sr.prieto@wass.com,Sr.prieto,2aFdLj6I7vKvVUL7,,661,"Salida con Amigos",,591000,3
"Sta. Lucas Delagarza Rivero",25400773,0,,stluderi,dWI5xMqHLi122z,,7460,Aniversario,,846000,9
"Carlota Escobedo Nava",13872531,6,caesna@tourket.com,caesna,N5LhPVBgQ,,470,Vacaciones,,1432000,8
"María Elena Robles Hurtado",6342539,7,,Maríahurtado,kVLABsZa88WWNt,,8179,"Salida con Amigos",,1110000,6
"Cristobal Palacios Cintrón",17452634,6,,cristobal3025,Hs8RxnLDNp,,8416,Vacaciones,,531000,9
"Andrea Loya Delatorre",28429935,3,anlode@viajesanma.com,Andreadelatorre,5eoSdEz4D,,8578,"Salida con Amigos",,164000,2
"Sta. Verónica Gaytán Mayorga",28727230,8,sta.2911@wass.com,Sta.mayorga,mnGNl34Z,,7291,"Salida con Familia",,776000,8
"Sta. Graciela Rentería Espinosa",17669275,8,sta.529@wass.com,Sta.espinosa,OezGxcxUMoYQ0,,2061,"Salida con Amigos",,240000,3
"Sr. Gerardo Crespo Sosa",1885325,6,,Sr.sosa,VOeQiA9le,,2244,"Cena de Trabajo",,544000,8
"Sra. María Soledad Villareal Palomino",9358508,9,,srmasovipa,B3GqvC7r5,,3067,"Cena de Trabajo",,224000,4
"Sra. José Luis Zamudio Perea",25209094,0,,srjoluzape,tS12tXtH,,8405,"Salida con Amigos",,630000,7
"Santiago Valenzuela Ocasio",8965832,2,savaoc@wass.com,Santiagoocasio,X0Eral7tHtnBN,,2427,Vacaciones,,168000,7
"Victoria Zamudio Esparza",18206812,8,vizaes@wass.com,vizaes,5PvZdBjk1,,9298,Aniversario,,174000,1
"Sra. Clara Bonilla Negrete",26536593,0,sra.3471@wass.com,srclbone,dMIEYry9CLgiCq,,8660,Aniversario,,350000,2
"Miguel Ángel Vela Carvajal",23708270,2,Miguelcarvajal@marmol.com,miguel6739,gwPp89JEexG,,7246,"Cena de Trabajo",,1336000,8
"Julia Acosta Merino",23506830,3,julia365@outluc.com,julia9369,U1lGJV5Y8,,6018,"Salida con Familia",,168000,2
