nombre,run,dv,correo,nombre_usuario,contrasena,telefono_contacto,jornada,isapre,contrato,codigo_reserva,codigo_agenda,fecha,monto,cantidad_personas,estado_disponibilidad,numero_viaje,lugar_origen,lugar_llegada,fecha_salida,fecha_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,tipo_de_bus,comodidades,escalas,clase,paradas
Octavio Leiva Quintanilla,24276712,8,oclequ@viajes.cl,oclequ,Nx7ZJfZ3wBR9Idvo,\+56 9 2347 4753,Nocturno,Consalud,Full time,497814,56626,2026-04-02,530000,2,No disponible,11330,Parla,Orense,2026-08-11,2026-08-12,42,2165,265000,British Airways,,{},"{Fuengirola,Estepona,Salamanca}",Clase ejecutiva,{}
Carlos Carranza Acevedo,11808257,5,cacaac@viajes.cl,carlos6199,7rZ1EEopYLe,\+56 9 1381 8710,Nocturno,Más vida,Part time,497815,56626,2026-03-27,268000,2,No disponible,83790,Orense,Zamora,2026-08-12,2026-08-13,91,2385,134000,American Airlines,,{},"{Mérida,""Roquetas de Mar""}",Primera clase,{}
Homero Gaona Cortez,27635055,2,Homerocortez@viajes.cl,Homerocortez,wFkKc3iCMzsr,\+56 9 1435 6017,Nocturno,Más vida,Part time,497819,56182,2026-03-08,720000,6,No disponible,94746,Irún,Cuenta,2026-04-03,2026-04-03,91,486,120000,SJ (Suecia),,{},{},,{Málaga}
Lourdes Urbina Castellanos,8513692,5,lourca@viajes.cl,lourdes8266,oZD2mfV7dtpljh,\+56 9 3051 5776,Diurno,Banmédica,Part time,497820,56182,2025-07-17,180000,6,No disponible,6973,Cuenta,Oviedo,2026-04-03,2026-04-03,60,303,30000,Renfe,,{},{},,{Granada}
Estela Vera Olivares,22289651,7,esveol@viajes.cl,estela2898,G50l2cp4ctvQRa,\+56 9 7534 4216,Nocturno,Banmédica,Part time,497824,56182,2025-03-22,1170000,6,No disponible,70797,Oviedo,Ferrol,2026-04-06,2026-04-06,92,416,195000,Thalys,,{},{},,"{Toledo,Benalmádena,Guadalajara}"
Guillermina Archuleta Griego,24287768,3,Guillerminagriego@viajes.cl,Guillerminagriego,2W8X8GWJBrJCsE,\+56 9 4538 7898,Diurno,Banmédica,Part time,497832,57281,2025-06-08,269000,1,No disponible,38268,Parla,El Puerto de Santa María,2026-10-07,2026-10-09,67,3555,269000,Copa Airlines,,{},"{""Pozuelo de Alarcón"",""Santa Cruz de Tenerife""}",Primera clase,{}
Sra. Rafael Pedroza Saavedra,15508172,4,Sra.saavedra@viajes.cl,Sra.saavedra,KVEIz2JhW9v,\+56 9 5440 7387,Nocturno,Colmena,Part time,497833,56159,2025-04-27,531000,3,No disponible,12037,Vitoria,Móstoles,2025-06-19,2025-06-20,90,2347,177000,Spirit Airlines,,{},{Ferrol},Clase ejecutiva,{}
Martín Altamirano Arias,17512289,3,Martínarias@viajes.cl,maalar,JPSFRghXT1o,\+56 9 8466 4167,Nocturno,Fonasa,Part time,497834,56159,2025-04-18,372000,3,No disponible,9448,Móstoles,Santander,2025-06-20,2025-06-20,56,244,124000,Air France,,{},{},Clase económica,{}
Reina Negrón Perales,10014565,0,reina3834@viajes.cl,Reinaperales,4KFLxavtmBRtN,\+56 9 2584 6666,Nocturno,Más vida,Part time,497835,56159,2025-03-17,999000,3,No disponible,54470,Santander,Pozuelo de Alarcón,2025-06-20,2025-06-22,11,4038,333000,JetBlue,,{},"{Fuenlabrada,Fuengirola,Lugo}",Primera clase,{}
Martín Ayala Raya,10499902,6,martín9252@viajes.cl,martín8054,d2xQrlFp41,\+56 9 5214 4638,Diurno,Más vida,Part time,497839,57368,2025-03-27,125000,1,No disponible,99503,Parla,Badajoz,2025-04-06,2025-04-06,29,541,125000,HŽ (Croacia),,{},{},,{}
Ana Luisa Verdugo Verdugo,25775975,0,anluveve@viajes.cl,ana9638,qL8F1Pngs2yMESaQ,\+56 2 9287 8160,Diurno,Fonasa,Full time,497845,57368,2025-03-14,81000,1,No disponible,1304,Badajoz,Molina de Segura,2025-04-11,2025-04-12,43,2368,81000,RZD (Rusia),,"{TV,Baño,""Aire acondicionado"",Calefacción,""Asientos reclinables""}",{},,"{Orense,""Hospitalet de LLobregat"",Mérida}"
Sra. Mariana Pacheco Caballero,9850814,7,Sra.caballero@viajes.cl,Sra.caballero,p4CJP38hbJZSKNJP,\+56 9 4111 4564,Diurno,Más vida,Part time,497849,55982,2025-02-01,440000,5,No disponible,49834,Barcelona,Palencia,2025-03-10,2025-03-10,81,932,88000,DSB (Dinamarca),,"{""Asientos reclinables"",Calefacción,Agua}",{},,{Paterna}
Olivia Almanza Cerda,3437808,8,olalce@viajes.cl,Oliviacerda,E6tBDr8tTs2piMmW,\+56 2 9692 3736,Nocturno,Banmédica,Part time,497850,57053,2026-09-12,390000,5,No disponible,98337,Sanlúcar de Barrameda,Puertollano,2026-09-28,2026-09-28,48,859,78000,United Airlines,,{},{},Clase económica,{}
Sr. Ángela Lovato Crespo,25478735,3,sr.6940@viajes.cl,Sr.crespo,cAaEZeVCZeB9r,\+56 9 7728 7720,Nocturno,Más vida,Part time,497851,57053,2025-01-30,440000,5,No disponible,21447,Puertollano,Fuenlabrada,2026-09-28,2026-09-28,47,1427,88000,Wizz Air,,{},{},Clase económica,{}
Sra. Ramón Anaya Olvera,17620997,6,Sra.olvera@viajes.cl,sra.8230,RyAt9c5unY151E0r,\+56 2 5311 5926,Diurno,Más vida,Full time,497852,57053,2026-05-30,640000,5,No disponible,99986,Fuenlabrada,Chiclana de la Frontera,2026-09-28,2026-09-29,95,1561,128000,Aeroméxico,,{},{},Clase ejecutiva,{}
Irene Colunga Madrid,6645408,8,irene1456@viajes.cl,irene1694,9oFeThVVcM,\+56 9 4945 9777,Diurno,Banmédica,Part time,497853,56463,2025-01-02,298000,2,No disponible,20218,Mollet del Vallés,Gerona,2025-01-06,2025-01-06,17,1040,149000,Air New Zealand,,{},{},Clase económica,{}
Rodrigo Soto Barreto,15371866,0,rosoba@viajes.cl,rodrigo7586,WPav80xCa,\+56 9 7442 1853,Nocturno,Fonasa,Full time,497854,56463,2025-01-05,174000,2,No disponible,38016,Gerona,Paterna,2025-01-06,2025-01-06,6,1371,87000,Aeroméxico,,{},{León},Clase económica,{}
Victoria Roldán Cedillo,10792168,0,viroce@viajes.cl,viroce,g6Yy5ZrNb5,\+56 9 4977 3353,Diurno,Consalud,Part time,497858,56463,2025-01-08,288000,2,No disponible,8065,Paterna,Alcalá de Guadaira,2025-01-09,2025-01-09,89,605,144000,Etihad Airways,,{},{},Clase ejecutiva,{}
Sta. Jerónimo Casillas Deleón,19756033,9,sta.6859@viajes.cl,Sta.deleón,baCoupW3bipUXIn,\+56 9 3259 5658,Nocturno,Fonasa,Full time,497866,57279,2025-07-28,528000,6,No disponible,29510,Benidorm,Cartagena,2025-10-12,2025-10-13,77,1454,88000,Japan Airlines,,{},{},Clase ejecutiva,{}
Sofia Carrera Páez,9852493,2,Sofiapáez@viajes.cl,socapá,S35tDKDxDyu,\+56 9 7850 3654,Nocturno,Consalud,Full time,497872,57279,2025-04-21,1578000,6,No disponible,32020,Cartagena,Alcalá de Guadaira,2025-10-18,2025-10-20,8,2964,263000,Lufthansa,,{},"{""San Fernando""}",Primera clase,{}
Juan Trujillo Tejada,9989107,6,Juantejada@viajes.cl,juan454,0BlI4ePr,\+56 2 8506 9438,Nocturno,Consalud,Full time,497879,57279,2025-03-20,678000,6,No disponible,22752,Alcalá de Guadaira,San Sebastián,2025-10-26,2025-10-27,50,2223,113000,KLM,,{},{},Primera clase,{}
Octavio Leiva Quintanilla,24276712,8,oclequ@viajes.cl,oclequ,Nx7ZJfZ3wBR9Idvo,\+56 9 2347 4753,Nocturno,Consalud,Full time,497883,56013,2026-05-11,256000,4,No disponible,53801,Cartagena,Gecho,2026-05-24,2026-05-24,33,951,64000,EME Bus,Cama,"{Wifi,""Aire acondicionado"",Agua}",{},,{}
Miguel Prieto Urrutia,29867808,0,Miguelurrutia@viajes.cl,Miguelurrutia,Dr82KCcc7cD3,\+56 2 4302 2647,Diurno,Banmédica,Full time,497886,56013,2026-03-27,368000,4,No disponible,49717,Gecho,Gandía,2026-05-26,2026-05-27,49,2584,92000,ADO,Cama,"{Calefacción,Wifi,Comida}",{},,{}
Sancho Preciado Márquez,19203901,0,saprmá@viajes.cl,sancho750,ydIxicMod5VGP,\+56 9 4480 0121,Diurno,Colmena,Full time,497887,56013,2026-03-02,504000,4,No disponible,56171,Gandía,Gerona,2026-05-27,2026-05-27,42,1035,126000,Buses Romani,Cama,"{Baño,Agua,""Asientos reclinables""}",{},,{}
Alejandro Valenzuela Mora,8835493,1,alejandro7842@viajes.cl,alejandro7066,iis7lCmFDdPm,\+56 9 5915 7655,Diurno,Banmédica,Part time,497888,56493,2025-01-11,582000,3,No disponible,1874,Collado Villalba,León,2025-03-26,2025-03-27,15,1563,194000,All Nippon Airways (ANA),,{},"{Orense,""Santa Cruz de Tenerife""}",Clase ejecutiva,{}
Sta. Micaela Agosto Soliz,16595504,8,sta.2160@viajes.cl,sta.1914,dSsFh1hkXN4gGr,\+56 2 2617 3758,Diurno,Consalud,Full time,497889,56493,2025-03-16,378000,3,No disponible,96740,León,Palma de Mallorca,2025-03-27,2025-03-28,76,1733,126000,JetBlue,,{},"{Torrevieja,""Alcalá de Henares""}",Clase ejecutiva,{}
Sra. Enrique Godoy Aguirre,11645177,8,srengoag@viajes.cl,srengoag,0eag3Ty4D,\+56 9 3531 5418,Diurno,Consalud,Part time,497896,56571,2025-04-11,1106000,7,No disponible,87881,Molina de Segura,Inca,2025-05-17,2025-05-17,86,317,158000,Wizz Air,,{},{},Clase ejecutiva,{}
Francisco Montañez Solano,27014118,8,Franciscosolano@viajes.cl,frmoso,i6i69yOOjCvDQSFu,\+56 9 0447 6410,Nocturno,Colmena,Part time,497901,56377,2025-11-08,794000,2,No disponible,37221,Palma de Mallorca,Elda,2026-01-23,2026-01-25,28,3338,397000,American Airlines,,{},{Benidorm},Clase ejecutiva,{}
Francisco Navarrete Ordóñez,14538848,1,frnaor@viajes.cl,Franciscoordóñez,uceXhkNigAcM4,\+56 2 2408 7049,Nocturno,Más vida,Part time,497905,56377,2025-04-01,824000,2,No disponible,50748,Elda,Elda,2026-01-28,2026-01-30,71,3825,412000,Japan Airlines,,{},"{Móstoles,Barcelona,Ceuta,""Santa Cruz de Tenerife"",Orense}",Primera clase,{}
Felipe Castellanos Cintrón,6405347,7,fecaci@viajes.cl,Felipecintrón,BPpcdh89RjbOdcV,\+56 2 1202 3116,Diurno,Banmédica,Part time,497908,56527,2025-03-22,370000,2,No disponible,57473,Puertollano,Gijón,2025-04-08,2025-04-09,69,1933,185000,Copa Airlines,,{},{},Clase económica,{}
Alejandro Barrientos Padilla,11282193,7,albapa@viajes.cl,alejandro4184,Lc7S4pkXmN8M,\+56 9 4312 4085,Nocturno,Consalud,Full time,497909,57368,2025-03-02,2264000,8,No disponible,23195,Dos Hermanas,Alicante,2025-08-21,2025-08-22,83,2408,283000,WestJet,,{},"{""Chiclana de la Frontera"",""Santa Cruz de Tenerife"",Alcobendas}",Primera clase,{}
Francisco Collazo Trujillo,10326997,0,Franciscotrujillo@viajes.cl,frcotr,04lc6WubbVC,\+56 2 3769 1321,Diurno,Banmédica,Full time,497913,56385,2025-09-15,270000,6,No disponible,53197,Alcorcón,Leganés,2025-10-02,2025-10-02,2,1397,45000,Eurostar,,"{Wifi,Agua,Calefacción}",{},,"{""Molina de Segura""}"
Carlos Carranza Acevedo,11808257,5,cacaac@viajes.cl,carlos6199,7rZ1EEopYLe,\+56 9 1381 8710,Nocturno,Más vida,Part time,497921,56789,2025-03-17,1600000,10,No disponible,59747,Cornellá de Llobregat,Orihuela,2026-05-23,2026-05-24,33,2303,160000,JetSur,Cama,"{Comida,Wifi,TV}",{},,{}
Ricardo Mateo García,23197807,0,rimaga@viajes.cl,Ricardogarcía,flIoD2THPaV,\+56 9 3871 7549,Nocturno,Fonasa,Part time,497927,56789,2025-09-02,2000000,10,No disponible,54139,Orihuela,Cornellá de Llobregat,2026-05-29,2026-05-31,46,3990,200000,Primera Plus,Cama,"{Agua,""Aire acondicionado"",Calefacción}",{},,{}
Sr. Daniela Guerra Ayala,16699609,0,srdaguay@viajes.cl,sr.6378,cjVM0UlqyoMleMO,\+56 9 1081 7653,Diurno,Colmena,Part time,497928,57175,2025-08-31,1520000,10,No disponible,80224,Las Palmas de Gran Canaria,Gerona,2025-09-10,2025-09-11,13,1656,152000,ŽFBH (Bosnia y Herzegovina),,"{TV,""Asientos reclinables"",Baño,""Aire acondicionado""}",{},,"{Puertollano,Toledo,Elda}"
Patricia Mateo Chapa,20942213,1,patricia6045@viajes.cl,Patriciachapa,dFPyd246miVGc,\+56 9 5372 7828,Diurno,Consalud,Part time,497929,57175,2025-08-07,900000,10,No disponible,83307,Gerona,Granollers,2025-09-11,2025-09-11,53,833,90000,Eurostar,,"{Comida,TV,""Asientos reclinables""}",{},,"{Paterna,""Cornellá de Llobregat"",Elda}"
Miguel Prieto Urrutia,29867808,0,Miguelurrutia@viajes.cl,Miguelurrutia,Dr82KCcc7cD3,\+56 2 4302 2647,Diurno,Banmédica,Full time,497930,57175,2025-07-20,1360000,10,No disponible,80840,Granollers,Valencia,2025-09-11,2025-09-11,17,1378,136000,HŽ (Croacia),,"{Wifi,Comida,Calefacción}",{},,"{""San Fernando""}"
Miguel Ureña Morales,20832292,3,miurmo@viajes.cl,miguel7541,ICJ2OGb2tD3R,\+56 9 1076 3762,Nocturno,Consalud,Part time,497935,56359,2025-03-09,826000,7,No disponible,65931,Talavera de la Reina,Ceuta,2025-10-24,2025-10-24,55,865,118000,CFR (Rumania),,"{Agua,TV,Wifi}",{},,"{Torremolinos,Mérida,Gijón}"
Yolanda Gurule Bétancourt,27041095,2,Yolandabétancourt@viajes.cl,yogubé,CIec5hdc9,\+56 9 7225 9077,Diurno,Colmena,Full time,497942,56359,2025-06-27,861000,7,No disponible,7475,Ceuta,Salamanca,2025-10-30,2025-10-31,28,2415,123000,ŽSSK (Eslovaquia),,"{TV,Calefacción,Baño,Agua,""Asientos reclinables""}",{},,"{Ferrol,Lugo}"
Eva Delapaz Baca,26198187,4,Evabaca@viajes.cl,Evabaca,LLRlvkc1S83TMqw,\+56 9 5746 2516,Diurno,Consalud,Full time,497950,56970,2026-03-21,832000,8,No disponible,95822,Ávila,Gandía,2026-03-23,2026-03-23,54,808,104000,JetBlue,,{},{},Clase económica,{}
Sra. Juana Noriega Vásquez,8783309,7,srjunová@viajes.cl,srjunová,c00iTGuZaAzP,\+56 2 8308 2605,Nocturno,Banmédica,Part time,497957,56970,2026-03-26,3128000,8,No disponible,64505,Gandía,Oviedo,2026-03-29,2026-03-31,48,3143,391000,Qantas,,{},"{""San Sebastían de los Reyes"",Lérida,Alicante}",Clase ejecutiva,{}
Fernando Baeza Alejandro,790451,7,febaal@viajes.cl,febaal,0gPbAnRc2XC,\+56 2 9409 5597,Diurno,Fonasa,Full time,497959,56709,2025-05-15,3150000,9,No disponible,92992,Vigo,Segovia,2025-08-20,2025-08-22,62,3456,350000,JetBlue,,{},"{Reus,Salamanca,""San Fernando""}",Primera clase,{}
Sra. Armando Montenegro Munguía,24018939,9,Sra.munguía@viajes.cl,srarmomu,wyxiUMmxA62M,\+56 9 9383 4253,Nocturno,Colmena,Full time,497960,56709,2025-07-04,693000,9,No disponible,39364,Segovia,Molina de Segura,2025-08-22,2025-08-23,89,1586,77000,Iberia,,{},{Zaragoza},Clase ejecutiva,{}
Patricia Alfaro Prado,26587530,0,patricia8943@viajes.cl,Patriciaprado,4DjD5ag20gD6EUaR,\+56 2 1122 1307,Nocturno,Colmena,Part time,497961,56709,2025-04-14,783000,9,No disponible,77944,Molina de Segura,Sevilla,2025-08-23,2025-08-24,66,2762,87000,Wizz Air,,{},"{Puertollano,Valdemoro,Valencia}",Primera clase,{}
Eduardo Parra Bétancourt,2139221,9,eduardo156@viajes.cl,Eduardobétancourt,0ckvctSUd3Mt1to,\+56 9 9947 9984,Nocturno,Banmédica,Part time,497966,56226,2025-01-01,254000,2,No disponible,21484,Ferrol,Roquetas de Mar,2025-11-25,2025-11-26,50,2564,127000,Buses Ahumada,Cama,"{""Aire acondicionado"",Calefacción,TV}",{},,{}
Carlos Carranza Acevedo,11808257,5,cacaac@viajes.cl,carlos6199,7rZ1EEopYLe,\+56 9 1381 8710,Nocturno,Más vida,Part time,497967,56226,2025-03-13,266000,2,No disponible,20092,Roquetas de Mar,Avilés,2025-11-26,2025-11-28,43,3915,133000,Buses Nilahue,Cama,"{Calefacción,TV,""Aire acondicionado""}",{},,{}
Claudia Alba Maya,6365739,5,Claudiamaya@viajes.cl,claudia406,dJ05zirZLcQ9Z69,\+56 2 2913 9723,Nocturno,Consalud,Part time,497968,57247,2025-02-17,1760000,5,No disponible,80204,San Fernando,Lérida,2025-11-11,2025-11-13,34,4202,352000,Lufthansa,,{},"{Lugo,Tarragona,Palencia,""El Prat de LLobregat"",Orense}",Primera clase,{}
Blanca Trejo Quiroz,5935201,6,Blancaquiroz@viajes.cl,bltrqu,J48qHcJ2ShTPdq6,\+56 9 6590 5088,Nocturno,Consalud,Full time,497971,57247,2025-09-05,475000,5,No disponible,3805,Lérida,Albacete,2025-11-15,2025-11-15,40,581,95000,Etihad Airways,,{},{},Clase ejecutiva,{}
Anita Montaño Agosto,4206051,8,anmoag@viajes.cl,Anitaagosto,Fsy8ugXHqA,\+56 9 8432 3425,Nocturno,Consalud,Full time,497972,56771,2025-03-08,1088000,4,No disponible,56681,Sanlúcar de Barrameda,Tarrasa,2025-11-30,2025-12-01,20,2797,272000,Frontier Airlines,,{},{},Clase ejecutiva,{}
Sr. Marilu Cornejo Alemán,18930111,1,sr.5351@viajes.cl,srmacoal,oVqF2mtszGse,\+56 2 6823 7630,Nocturno,Fonasa,Part time,497973,56771,2025-05-28,320000,4,No disponible,32979,Tarrasa,Benidorm,2025-12-01,2025-12-01,45,721,80000,Wizz Air,,{},{},Clase económica,{}
Andrea Valadez Feliciano,9855588,9,Andreafeliciano@viajes.cl,andrea2871,0WgGpGIDG,\+56 9 5440 9615,Diurno,Más vida,Full time,497975,56771,2025-06-13,988000,4,No disponible,74901,Benidorm,Segovia,2025-12-02,2025-12-04,68,4056,247000,Ryanair,,{},"{Lérida,Badalona}",Primera clase,{}
Sra. Rafael Pedroza Saavedra,15508172,4,Sra.saavedra@viajes.cl,Sra.saavedra,KVEIz2JhW9v,\+56 9 5440 7387,Nocturno,Colmena,Part time,497976,56478,2025-09-11,684000,4,No disponible,50082,Benidorm,Sanlúcar de Barrameda,2026-03-13,2026-03-14,67,2102,171000,SJ (Suecia),,"{Baño,Comida,Calefacción,Wifi}",{},,{}
Benjamín Méndez Correa,1706996,9,Benjamíncorrea@viajes.cl,beméco,e6RaSQpviIKRVb,\+56 9 5772 7532,Diurno,Banmédica,Part time,497981,57120,2025-05-16,228000,4,No disponible,5755,Hospitalet de LLobregat,Roquetas de Mar,2025-09-17,2025-09-17,47,1318,57000,Megabus,Cama,"{Agua,Wifi,TV}",{},,{}
José González Ramírez,5113956,9,jogora@viajes.cl,jogora,nHzzTKNL1Y,\+56 9 6286 8816,Diurno,Fonasa,Full time,497982,56318,2025-03-13,512000,4,No disponible,77741,Mijas,Estepona,2025-07-15,2025-07-16,39,1558,128000,Qatar Airways,,{},"{""Alcalá de Henares""}",Clase económica,{}
Sta. Agustín Montalvo Collazo,2564635,5,stagmoco@viajes.cl,Sta.collazo,XpKvSiGkm13JG,\+56 9 0261 7946,Diurno,Colmena,Part time,497983,56367,2025-08-05,1480000,8,No disponible,97734,Pozuelo de Alarcón,Santander,2026-01-26,2026-01-27,35,2638,185000,Buses Romani,Cama,"{Baño,Comida,Calefacción}",{},,{}
Marta Borrego Miranda,6297915,1,marta3183@viajes.cl,Martamiranda,nFdvTv05gjR9,\+56 9 1868 9781,Nocturno,Consalud,Full time,497991,56367,2025-07-12,1144000,8,No disponible,29953,Santander,Torrejón de Ardoz,2026-02-03,2026-02-04,35,1711,143000,Condor Bus,Cama,"{""Aire acondicionado"",Calefacción,Wifi}",{},,{}
Benito Leyva Cortés,18056604,0,beleco@viajes.cl,beleco,zWoq61YFeQk1Bzx,\+56 2 2625 5242,Diurno,Colmena,Full time,497992,56367,2025-09-10,832000,8,No disponible,79983,Torrejón de Ardoz,Ciudad Real,2026-02-04,2026-02-04,47,516,104000,Estrella Roja,Cama,"{Wifi,Agua,Comida}",{},,{}
Rebeca Báez Ordóñez,20154937,0,Rebecaordóñez@viajes.cl,rebáor,Z9d2S5prTSY,\+56 2 4138 0853,Diurno,Consalud,Part time,497998,56506,2025-09-28,332000,2,No disponible,1705,Granollers,La Línea de la Concepción,2026-07-02,2026-07-04,45,3724,166000,Damas,Cama,"{TV,""Asientos reclinables"",Comida}",{},,{}
Gerardo Sotelo Muñiz,17374154,5,gerardo1075@viajes.cl,Gerardomuñiz,pf7qkyRki3dVlYX,\+56 9 1911 9892,Nocturno,Fonasa,Part time,497999,56506,2026-06-22,82000,2,No disponible,48079,La Línea de la Concepción,Jaén,2026-07-04,2026-07-04,31,379,41000,Crucero del Norte,Semi-cama,"{Calefacción,""Aire acondicionado"",Comida}",{},,{}
Lola Leyva Uribe,7943237,7,Lolauribe@viajes.cl,lola1735,LRU6Rs6PCQs,\+56 2 2114 0976,Nocturno,Fonasa,Full time,498000,56852,2025-02-20,406000,7,No disponible,16347,El Ejido,Las Palmas de Gran Canaria,2026-09-05,2026-09-05,36,909,58000,Ethiopian Airlines,,{},"{""Alcalá de Henares""}",Clase económica,{}
Emilio Ulloa Murillo,1280569,1,emulmu@viajes.cl,emulmu,Tj66sacQBnNc6d,\+56 2 5556 6944,Nocturno,Banmédica,Part time,498008,56852,2025-11-18,1302000,7,No disponible,2656,Las Palmas de Gran Canaria,Palma de Mallorca,2026-09-12,2026-09-13,53,2787,186000,LATAM Airlines,,{},"{Mérida,Motril}",Primera clase,{}
Samuel Alcaraz Reséndez,2787730,3,Samuelreséndez@viajes.cl,samuel1007,2O8b9kbUxJxWFqVH,\+56 2 8257 9493,Diurno,Banmédica,Full time,498010,56852,2025-06-17,1820000,7,No disponible,27830,Palma de Mallorca,Granollers,2026-09-14,2026-09-15,38,2508,260000,Vueling,,{},{Salamanca},Clase ejecutiva,{}
Lourdes Gaytán Iglesias,24608983,3,lourdes7526@viajes.cl,lourdes9385,13OvJWCjo0e6Oh,\+56 2 6883 8192,Diurno,Más vida,Part time,498011,56323,2025-07-31,906000,3,No disponible,62865,Coslada,Barcelona,2025-08-08,2025-08-10,88,3897,302000,ŽSSK (Eslovaquia),,"{""Asientos reclinables"",TV,""Aire acondicionado"",Comida,Agua,Calefacción,Wifi}",{},,"{Rivas-Vaciamadrid,""Alcalá de Henares"",Cádiz,Coslada,Rubí}"
Armando Ulibarri Razo,22974735,5,arulra@viajes.cl,arulra,V9gWpSaNTv0gikD,\+56 9 7832 8748,Nocturno,Consalud,Full time,498012,55966,2025-02-19,1370000,10,No disponible,95428,Toledo,Roquetas de Mar,2025-07-30,2025-08-01,50,3172,137000,Avanza,Cama,"{""Aire acondicionado"",TV,Calefacción}",{},,{}
Sta. Micaela Agosto Soliz,16595504,8,sta.2160@viajes.cl,sta.1914,dSsFh1hkXN4gGr,\+56 2 2617 3758,Diurno,Consalud,Full time,498019,55966,2025-02-22,1720000,10,No disponible,37439,Roquetas de Mar,Leganés,2025-08-07,2025-08-08,45,2337,172000,BoltBus,Cama,"{""Aire acondicionado"",Wifi,Agua}",{},,{}
