nombre,run,dv,correo,contrasena,telefono_contacto,puntos,etiqueta,fecha,monto,cantidad_personas
"Raquel Palacios Trujillo",7765742,3,,gRaMKgFZg3LM,"+56 2 1830 0034",5911,,,623000,10
"Rosalia Ponce Paredes",14515706,7,,moBhTDtZ1hY,"+56 2 8690 1118",,,,592000,4
"Inés Trujillo Tamez",27880071,0,,Tsa5uDPJ1,"+56 9 3979 1567",3653,,,451000,8
"Ana Luisa Flórez Tijerina",15340192,9,,S4DwkAKX7D4,"+56 9 7326 1699",,,,164000,8
"Catalina Saldaña Verduzco",11453582,1,,7ch92EYL,"+56 2 8488 3038",8048,,,323000,7
"Adán Rivero Valadez",11232685,3,,h4bk2qRDsNzn,"+56 2 5745 4074",687,,,295000,6
"Luis Montemayor Naranjo",3557452,2,,ZK7Cty0y91FC2nO,"+56 9 5933 4649",,,,95000,8
"Barbara Segovia Madrid",4330480,7,,NzPmkJaGa1b2,"+56 9 0626 7559",,,,805000,5
"Sra. Rafael Roldán Villalobos",24306712,7,,dZLhK4YRYBO5Dmi,"+56 9 0115 9044",3921,,,433000,10
"Benjamín Arenas Saiz",10145350,1,,TH5TsAl5CTwdY,"+56 9 1665 1414",8974,,,161000,6
"Sr. Jacobo Chávez Mena",7078266,8,,X8oiawcY7fHPj,"+56 9 6571 2815",1658,,,924000,6
"Inés Fernández Muro",6394372,4,,aFrNWRl33IZmtv8,"+56 9 4949 2529",3340,,,38000,8
"Emilia Hidalgo Carrera",4510885,3,,7n7uVZNoqCs,"+56 9 4562 6891",9924,,,848000,2
"Mateo Carmona Saldivar",10577164,5,,vT2er3uOAhwA,"+56 9 6555 8956",,,,679000,2
"Luisa Otero Madera",13882290,4,,T8GdK88xBle361h,"+56 2 8866 2116",1771,,,581000,4
"Gonzalo Otero Meraz",4839613,7,,9nJLfPXnBv,"+56 9 4085 0365",7022,,,582000,5
"Juana Gallardo Negrón",18870545,6,,8B649s3pQur,"+56 2 6137 4989",,,,641000,4
"José Delvalle Montez",2161201,4,,uYDEzUSJL6,"+56 2 6467 5257",6947,,,300000,7
"Esteban Lara Paz",28091570,2,,e6E1WxA41yHlm2,"+56 2 8408 7249",9772,,,355000,4
"Yolanda Mota Sanches",16478181,4,,JVL9e7nK5,"+56 2 7330 0628",3631,,,609000,8
"Sr. Eduardo Prieto Gaona",15710540,4,,ZGpj0uIydIRsyKMY,"+56 9 4287 2435",7088,,,359000,3
"Sr. Olivia Rascón Roybal",14862493,3,,IlHBdP23ITOzlf,"+56 9 0543 3816",,,,155000,3
"Irene Jiménez Vera",8756945,0,,NdVV0WxXt,"+56 9 8143 6689",974,,,193000,5
"Adela Chavarría Quiñónez",8419924,9,,sI6zXlo1,"+56 9 0857 2468",9010,,,357000,7
"Benjamín Henríquez Zavala",18347219,7,,6s7NoRYJUK,"+56 2 9446 7735",1653,,,43000,1
"Sta. Mario Aparicio Prieto",24765748,1,,vZbOHB6N25,"+56 9 0843 2005",1276,,,13000,9
"Víctor Patiño Fernández",27374111,9,,J47IfupNxSu,"+56 2 1675 2070",,,,920000,10
"Andrea Segovia Velasco",20318804,1,,73P5YehL6,"+56 2 9987 6809",6182,,,303000,2
"Lilia Córdova Villa",29625752,7,,7dvg2VWI1QFo6aJ0,"+56 2 7438 0739",5368,,,282000,3
"Mariana Perales Echevarría",25372053,8,,jp5JNdud,"+56 9 7448 4728",9372,,,239000,6
"Maricarmen Villarreal Corona",7874280,3,,5G7kg1phY,"+56 2 1490 6711",,,,403000,8
"Adriana Guardado Rael",21153464,4,,hWUEmNvYvJG1d0hY,"+56 2 7563 5807",,,,866000,5
"Sr. Graciela Meraz Olivo",28482341,8,,FXst63NvRKaMuCXE,"+56 9 0904 5357",3437,,,490000,2
"Patricio Robledo López",10361298,5,,I9X63JbqWDbe,"+56 9 5392 6298",,,,473000,9
"Juan Medina Guerrero",13099708,7,,SOqZiWu56s,"+56 9 9217 0158",8697,,,691000,4
"Arturo Cepeda Jasso",29900482,6,,WlLOFg15xv942,"+56 9 7555 4213",4773,,,556000,8
"Sra. Susana Orozco Esquivel",29562465,1,,vJlu6gJ8od50,"+56 9 5852 6747",5774,,,723000,5
"Federico Cedillo Sanabria",17583285,3,,XrjG0l2vqiqObuBj,"+56 2 0011 8156",5984,,,179000,9
"Esteban Cortez Madrid",3701566,6,,ze7Dz9BfI,"+56 9 6899 7240",,,,727000,1
"Sr. María Teresa Carreón Sanabria",5806404,3,,HhidY8UXklNR5c2B,"+56 9 3603 4023",,,,704000,3
"Sta. Gabriela Hinojosa Espinal",15912811,0,,XYfcwZ0Czp4uwyA8,"+56 9 5789 4860",7532,,,168000,4
"Teodoro Gamez Tamayo",8421141,7,,PS6ngIT6sh2o,"+56 9 0303 8342",7967,,,969000,5
"Sra. Cristobal Fajardo Montaño",29634406,8,,hrRqggt5MHdE5d9,"+56 2 8904 7447",1166,,,962000,3
"Lilia Córdova Villa",29625752,7,,7dvg2VWI1QFo6aJ0,"+56 2 7438 0739",5368,,,339000,6
"Sra. Blanca Yáñez Pelayo",5469143,7,,4hmKmT9yqd5,"+56 2 8286 5730",318,,,847000,2
"Leticia Girón Zambrano",26093141,1,,63mM9U6NQGgd,"+56 2 2935 3456",7229,,,967000,3
"José Emilio Adorno Mojica",10151627,0,,XLRjvW2KUVKh,"+56 2 8999 9398",8977,,,932000,3
"Sr. Gustavo Pineda Suárez",14134082,8,,7Wq2xGp3,"+56 9 7995 1642",,,,719000,6
"Eva Rosado Santiago",16104324,1,,rmtXMVGd4Nc6,"+56 2 4008 0534",,,,16000,3
"Daniel Verdugo Montaño",26116853,9,,EL9sU0s2hPkX,"+56 2 9038 3956",,,,354000,6
"Julio Esquibel Olivas",5795640,0,,9KqT3VrpFLk,"+56 2 7535 4964",5701,,,742000,10
"Jorge Luis Gamez Guillen",12401104,2,,9hTLwJxW4,"+56 9 9483 3313",2475,,,276000,6
"Sta. Jorge Mojica Arriaga",9178491,5,,9EtqfLFY,"+56 9 1381 2866",3483,,,759000,7
"Salvador Valentín Duarte",9855693,7,,QpUQuzVx6uYQJX,"+56 9 9738 7745",3235,,,309000,7
"Víctor Montenegro Dueñas",8861381,7,,SC73bz2t0CDD,"+56 9 2030 1633",5927,,,172000,8
"Sta. Marilu Solano Armijo",28896065,9,,qWimZ6DI2ooKw,"+56 9 8035 2165",6485,,,978000,7
"Agustín Ibarra Garrido",2177970,0,,VHbyJwB5,"+56 9 7117 5033",2459,,,310000,7
"Laura Calderón Matos",9027548,4,,atf4RYzM,"+56 9 7271 8880",2275,,,600000,2
"Mónica Ornelas Mojica",9931122,4,,nqHy16mxpCK,"+56 9 2944 1097",,,,131000,1
"Juan Medina Guerrero",13099708,7,,SOqZiWu56s,"+56 9 9217 0158",8697,,,875000,9
"Enrique Melgar Corona",17832821,9,,S4nwGW0FPn,"+56 2 0221 4702",6558,,,313000,7
"José María Téllez Valle",21957454,4,,Tw7uakU74flf,"+56 2 6582 6262",5331,,,356000,2
"Sra. Óscar Lozada Crespo",21925626,3,,VejL93gyLtv,"+56 2 4919 7824",4515,,,778000,3
"Germán Caraballo Alaniz",16417867,3,,ItHA8Jjh,"+56 9 3059 3456",8871,,,250000,3
"Víctor Montemayor Molina",20179174,5,,jdbIG99t7,"+56 9 2641 1508",1013,,,873000,2
"Eduardo Camarillo Arguello",11298042,1,,Ew06ei1B8,"+56 9 3025 2472",3083,,,118000,8
"Ester Macías Lomeli",10960892,6,,Al70OwKnX8Y,"+56 9 9963 5757",9735,,,173000,3
"Agustín Ibarra Garrido",2177970,0,,VHbyJwB5,"+56 9 7117 5033",2459,,,477000,7
"Arturo Ballesteros Frías",3786947,6,,9e10vfDQt0iA2JP,"+56 9 5726 8163",1924,,,392000,6
"Concepción Nava Lira",21682560,3,,ZV74M9NHdWsbMvOB,"+56 2 8088 5384",9922,,,828000,6
"Sra. Estela Tapia Meléndez",20784565,0,,ifxsbqQIoJuO0xCh,"+56 2 5558 2920",5314,,,693000,10
"Sr. Pedro Palomo Parra",6999036,3,,1GPteACM,"+56 2 5422 2917",,,,741000,5
"Sra. Maricarmen Colón Gonzales",1106202,5,,xaNoWXBk14u,"+56 2 6570 7066",4120,,,95000,4
"Sr. Gustavo Pineda Suárez",14134082,8,,7Wq2xGp3,"+56 9 7995 1642",,,,567000,8
"Sra. Maricarmen Colón Gonzales",1106202,5,,xaNoWXBk14u,"+56 2 6570 7066",4120,,,140000,8
"Mateo Montaño Reyna",17885484,8,,Dh75zkYmZE,"+56 9 1240 4865",6246,,,794000,6
"Patricio Coronado Pagan",8256905,4,,HGLVGHyX4pz2,"+56 2 7420 8654",,,,742000,2
"Eva Rosado Santiago",16104324,1,,rmtXMVGd4Nc6,"+56 2 4008 0534",,,,891000,1
"Eva Rosales Munguía",26314413,7,,ZuqeCh9HJeSqvh,"+56 2 8843 2577",5817,,,378000,10
"Felipe Haro Grijalva",18088862,9,,4BlNAu9JydS0EQr,"+56 2 4430 4746",,,,773000,1
"Vicente Castellanos Sandoval",25180424,3,,8Vrt5T3ynhR,"+56 2 2222 6408",6054,,,533000,4
"José Quiñones Linares",17370674,3,,o01nC68g,"+56 9 2209 7086",,,,520000,8
"Elena Gaytán Alemán",21932124,8,,yWK6fd7BXCm,"+56 9 4533 6197",,,,57000,7
"Jesús Escamilla Ornelas",2332647,7,,SOhNVtjG4U1hE,"+56 9 6354 4471",6929,,,588000,1
"Sr. Norma Cervántez Henríquez",24179482,2,,r81SqZFcV2q0m7l0,"+56 9 2084 3369",,,,285000,3
"Luisa Otero Madera",13882290,4,,T8GdK88xBle361h,"+56 2 8866 2116",1771,,,343000,10
"Felipe Valadez Saavedra",21092209,6,,O6gW9P8U8JB,"+56 9 4054 9966",8815,,,337000,6
"Emilia Abeyta Rivero",342476,3,,5RnCEs5Crc0f,"+56 2 0489 6673",9276,,,858000,4
"Sra. Miguel Ángel Vega Aragón",9420086,7,,Ux4h2l3JcS049QA,"+56 9 1919 0467",4891,,,514000,7
"Ramona Vaca López",28380039,4,,0vdXw8vb5brCFDw0,"+56 9 6448 5211",,,,373000,6
"Carlos Olmos Mercado",8687016,9,,76f7zNfCO3fVpeKN,"+56 2 5142 5989",3752,,,853000,7
"Marta Sandoval Domínquez",8613162,1,,por9bcK1Udh,"+56 2 7474 1071",4039,,,689000,7
"Teodoro Arguello Solorio",792519,8,,Sx2z7GHwJ7,"+56 9 1778 9794",6777,,,24000,6
"Sta. Teresa Domínguez Montero",1138099,8,,1hwOZUgeR,"+56 2 3697 5957",6030,,,476000,3
"Graciela Córdova Roybal",27415282,1,,eLYfqN0WR,"+56 2 7829 5110",6180,,,319000,7
"Alicia Jaramillo Cadena",27627971,4,,ByWnayX8xDCA4,"+56 2 9740 7349",6540,,,190000,2
"Pilar Guillen Linares",29174476,1,,IKaw3m0YrODH,"+56 2 6108 9306",3054,,,157000,3
"Federico Suárez Henríquez",29671869,5,,c8eQfkoswI,"+56 2 1724 7558",9138,,,567000,6
"Berta Feliciano Leal",364797,1,,fNAZP3H0wv,"+56 9 1858 0889",5101,,,381000,8
"Rocio Hurtado Acuña",14418082,5,,74rvZlbdu,"+56 2 1352 6931",3469,,,437000,3
"Elena Medrano García",1080801,7,,U4WpATb8,"+56 2 2343 9693",6585,,,674000,5
"Lucas Casas Benavides",11752702,1,,8O6SvPSdYi3yU1,"+56 2 8928 4461",8115,,,190000,9
"Elena Medrano García",1080801,7,,U4WpATb8,"+56 2 2343 9693",6585,,,913000,1
"Felipe Pelayo Moreno",24166310,2,,XoqBjv1Cn52,"+56 2 5847 0721",993,,,535000,2
"Sra. Hernán Manzanares Molina",12979947,5,,EkAv4ghL,"+56 2 3838 4245",8216,,,589000,8
"Javier Valenzuela Contreras",5931701,6,,caPVT6Ok3lpv2gr,"+56 2 9971 4314",1115,,,610000,3
"Jaime Ledesma Villalpando",17825787,2,,L1PSWYNsInURYPKw,"+56 2 4413 4822",9060,,,569000,6
"Pedro Chávez Barrera",14286638,4,,1JTGUyxS,"+56 2 5186 4590",,,,656000,9
"Ramón Gastélum Fierro",24313225,7,,DgeGiG6R3,"+56 9 5848 9909",9685,,,429000,9
"Patricia Armenta Caballero",26163159,7,,Sufo0ZJpEef1zAsa,"+56 9 5098 9515",8546,,,836000,10
"Sta. Gabriela Rincón Tirado",20450441,5,,83sH66sfBghzv,"+56 2 7725 7091",7925,,,67000,8
"Sta. Mercedes Arias Moya",13092032,6,,0POHdbgK,"+56 2 3764 7345",5710,,,297000,10
"Javier Carrero Parra",15750793,6,,R3ypMlKjs2q,"+56 2 9274 6304",4718,,,443000,10
"Sra. Cristobal Fajardo Montaño",29634406,8,,hrRqggt5MHdE5d9,"+56 2 8904 7447",1166,,,711000,9
"Lucia Hernández Arredondo",23824026,7,,6W6ntQLWfieS,"+56 9 7591 4402",,,,429000,4
